General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,184,20.22390671,92.259583,0.0110032,0.6373449,0.857712,1.000762,10.663327,-0.0003,0,0,-1,360.739,371.882,1041.767,0,0
,,185,20.22504999,91.311943,0.01100675,0.63724459,0.854027,1.001334,10.52999,-0.0007,0,0,-1,361.01,372.255,1041.623,0,0
,,186,20.23272365,89.731367,0.01111075,0.63621908,0.846742,1.00212,10.429,-0.0021,0,0,-1,361.208,372.495,1041.555,0,0
,,187,20.24014982,92.939378,0.01111234,0.63614747,0.850985,1.001895,10.281522,0.0016,0,0,-1,361.476,372.768,1041.757,0,0
,,188,20.24027299,93.629637,0.01111226,0.63721779,0.871158,1.002652,10.162162,0.0007,0,0,-1,361.573,372.954,1041.769,0,0
,,189,20.23310759,87.452512,0.01111392,0.63726018,0.853386,1.003005,10.069093,0.0014,0,0,-1,361.832,373.16,1041.944,0,0
,,190,20.22364136,93.020491,0.01119914,0.63814566,0.836315,1.003326,9.811074,-0.0004,0,0,-1,361.984,373.411,1041.697,0,0
,,191,20.21789299,91.174464,0.01128028,0.64003249,0.822465,1.003254,9.580849,-0.0002,0,0,-1,362.161,373.544,1041.859,0,0
,,192,20.21792194,88.899586,0.01138728,0.64194412,0.830352,1.003051,9.465768,-0.0008,0,0,-1,362.349,373.805,1041.579,0,0
,,193,20.21983099,90.833643,0.01139391,0.64417948,0.840974,1.00307,9.352702,0.0005,0,0,-1,362.42,373.909,1041.524,0,0
,,194,20.22832752,93.804785,0.01139272,0.64423266,0.850973,1.00359,9.143847,0.0026,0,0,-1,362.685,374.132,1041.469,0,0
,,195,20.23502642,89.317114,0.01158125,0.64428665,0.849254,1.003444,8.991813,-0.0008,0,0,-1,362.818,374.345,1041.25,0,0
,,196,20.2397906,92.619412,0.01169915,0.64511487,0.839731,1.003791,8.959519,-0.0016,0,0,-1,362.946,374.426,1041.404,0,0
,,197,20.24387901,91.392881,0.01170124,0.6458183,0.817768,1.003549,8.824794,0.0008,0,0,-1,363.017,374.586,1041.367,0,0
,,198,20.24654486,92.777943,0.01170214,0.64522582,0.833393,1.003764,8.619261,0.0016,0,0,-1,363.097,374.612,1041.357,0,0
,,199,20.25327978,91.858488,0.01170255,0.64431671,0.844522,1.003838,8.513705,0.0014,0,0,-1,363.283,374.793,1041.303,0,0
,,200,20.25732566,93.695201,0.01170414,0.64318387,0.836978,1.004169,8.405622,0.0006,0,0,-1,363.276,374.853,1041.276,0,0
,,201,20.25867137,94.541572,0.01159829,0.64123758,0.84964,1.003929,8.217009,-0.0002,0,0,-1,363.318,374.782,1041.25,0,0
,,202,20.26691351,94.681386,0.01159034,0.63820914,0.831117,1.003882,8.076315,-0.0003,0,0,-1,363.252,374.771,1041.21,0,0
,,203,20.27979158,94.541193,0.01159615,0.63523016,0.873805,1.004199,8.014,0.0005,0,0,-1,363.275,374.702,1041.22,0,0
,,204,20.29292962,93.350719,0.01148505,0.63203256,0.855792,1.003698,7.897754,0.0005,0,0,-1,363.317,374.76,1041.195,0,0
,,205,20.29602974,93.237746,0.01147691,0.62918917,0.855912,1.003976,7.750325,-0.001,0,0,-1,363.251,374.644,1041.211,0,0
,,206,20.29944607,95.073442,0.01139985,0.6233297,0.867173,1.004095,7.610853,0.0005,0,0,-1,363.292,374.613,1041.233,0,0
,,207,20.32067265,96.202518,0.0113928,0.61550478,0.852086,1.003931,7.537384,-0.0019,0,0,-1,363.144,374.461,1041.215,0,0
,,208,20.3486393,95.754184,0.01128431,0.60849322,0.863726,1.003605,7.460116,0.0005,0,0,-1,363.088,374.278,1041.301,0,0
,,209,20.3593227,97.390979,0.01119488,0.60150806,0.875456,1.0035,7.349726,-0.0009,0,0,-1,362.913,374.136,1041.296,0,0
,,210,20.36642182,94.324733,0.01111704,0.59444811,0.882805,1.003397,7.251843,0.0008,0,0,-1,362.787,373.842,1041.348,0,0
,,211,20.38122778,98.260231,0.01100466,0.58448738,0.885116,1.002952,7.199329,0.0009,0,0,-1,362.671,373.699,1041.319,0,0
,,212,20.40110997,98.013354,0.01070993,0.57549357,0.876315,1.002833,7.115226,0.0005,0,0,-1,362.495,373.485,1041.289,0,0
,,213,20.41866311,93.517816,0.01058913,0.56836228,0.894402,1.003569,7.005251,0.0008,0,0,-1,362.486,373.366,1041.281,0,0
,,214,20.43823745,94.795974,0.01058306,0.55462755,0.896754,1.003324,6.942811,-0.0021,0,0,-1,362.366,373.237,1041.269,0,0
,,215,20.45713532,95.101559,0.01050487,0.54250165,0.888168,1.003892,6.848522,-0.0014,0,0,-1,362.287,373.013,1041.286,0,0
,,216,20.47085385,96.584837,0.01030709,0.53418773,0.903503,1.003523,6.780193,0.0007,0,0,-1,362.178,372.904,1041.287,0,0
,,217,20.48048615,97.903758,0.01011611,0.52157029,0.89186,1.003729,6.712852,-0.0002,0,0,-1,362.043,372.656,1041.316,0,0
,,218,20.487481,96.969665,0.00988689,0.50943224,0.900613,1.003176,6.565656,0.0015,0,0,-1,361.987,372.525,1041.315,0,0
,,219,20.48997464,94.134206,0.00968793,0.50035332,0.91591,1.003538,6.507813,-0.0001,0,0,-1,361.793,372.328,1041.314,0,0
,,220,20.49349227,94.444142,0.00931096,0.49063035,0.892156,1.003332,6.399919,-0.0025,0,0,-1,361.683,372.067,1041.373,0,0
,,221,20.50235814,97.215583,0.00918311,0.48132644,0.901875,1.002744,6.31821,-0.0041,0,0,-1,361.45,371.823,1041.379,0,0
,,222,20.51297362,99.8641,0.00909455,0.4696227,0.911265,1.002416,6.18734,-0.0028,0,0,-1,361.233,371.428,1041.421,0,0
,,223,20.52465226,97.824176,0.00869061,0.45947547,0.917985,1.002347,6.128044,-0.0006,0,0,-1,361.049,371.219,1041.395,0,0
,,224,20.53436765,97.797883,0.00850935,0.4523306,0.922538,1.00189,6.130782,0.0007,0,0,-1,360.81,370.893,1041.424,0,0
,,225,20.54418993,97.309975,0.00829493,0.44269599,0.913478,1.001406,6.049582,0.0007,0,0,-1,360.71,370.668,1041.473,0,0
,,226,20.55491135,97.118086,0.00820388,0.43606875,0.902275,1.001567,5.966389,0.0003,0,0,-1,360.437,370.381,1041.472,0,0
,,227,20.56442103,97.910081,0.00797368,0.42833367,0.914555,1.00168,5.915231,0.0007,0,0,-1,360.289,370.056,1041.495,0,0
,,228,20.57677294,100.609854,0.00780766,0.41747299,0.910926,1.001469,5.844871,-0.0003,0,0,-1,360.079,369.831,1041.503,0,0
,,229,20.58663311,104.856539,0.00757914,0.40940412,0.919642,1.001597,5.732,0.0004,0,0,-1,359.852,369.491,1041.563,0,0
,,230,20.59282248,96.825793,0.00748864,0.4023204,0.922592,1.001469,5.63687,0.0017,0,0,-1,359.735,369.276,1041.561,0,0
,,231,20.59879752,99.228187,0.00738953,0.39526153,0.920485,1.001657,5.593667,0.0022,0,0,-1,359.455,368.967,1041.528,0,0
,,232,20.60347216,96.536321,0.00736363,0.38942576,0.937884,1.00157,5.552083,0.0008,0,0,-1,359.311,368.688,1041.528,0,0
,,233,20.60970104,100.947884,0.00727214,0.38016837,0.92851,1.000877,5.539529,0.0004,0,0,-1,359.066,368.436,1041.472,0,0
,,234,20.61449492,101.276073,0.0072771,0.372299,0.925795,1.000498,5.505884,-0.0018,0,0,-1,358.867,368.072,1041.529,0,0
,,235,20.6221613,98.714375,0.00727778,0.36505758,0.938435,0.999808,5.476227,-0.0012,0,0,-1,358.675,367.824,1041.555,0,0
,,236,20.63000156,100.860529,0.00727963,0.35592705,0.924492,0.999449,5.380253,0.0002,0,0,-1,358.414,367.459,1041.55,0,0
,,237,20.63766185,97.373814,0.00727459,0.34781486,0.933712,0.999098,5.326869,-0.0005,0,0,-1,358.283,367.214,1041.579,0,0
,,238,20.64518693,101.679207,0.00727158,0.34145671,0.927558,0.998996,5.262079,0.0006,0,0,-1,357.991,366.882,1041.606,0,0
,,239,20.65295304,102.708401,0.00719419,0.33411075,0.934504,0.998689,5.27198,0.0009,0,0,-1,357.819,366.523,1041.686,0,0
,,240,20.66094748,101.092791,0.0071921,0.32561381,0.934189,0.99834,5.213622,-0.0025,0,0,-1,357.54,366.245,1041.965,0,0
,,241,20.6697454,99.585252,0.00718961,0.31561115,0.918127,0.998729,5.119893,-0.0024,0,0,-1,357.3,365.845,1041.776,0,0
,,242,20.67556531,97.830851,0.0070827,0.31061389,0.928269,0.998493,5.108012,-0.0003,0,0,-1,357.099,365.581,1041.7,0,0
,,243,20.68168561,100.759613,0.00699126,0.30402393,0.929733,0.998276,5.104087,-0.0019,0,0,-1,356.802,365.2,1041.388,0,0
,,244,20.69018505,100.203266,0.00699588,0.29711179,0.928538,0.998136,5.021083,-0.0026,0,0,-1,356.632,364.915,1041.362,0,0
,,245,20.69511697,98.2556,0.00699299,0.29052571,0.934682,0.998224,4.989771,-0.0002,0,0,-1,356.369,364.622,1041.521,0,0
,,246,20.69796067,96.084695,0.00699809,0.28545249,0.925171,0.997519,4.932811,0.0028,0,0,-1,356.171,364.252,1041.29,0,0
,,247,20.69807912,99.069478,0.0069938,0.28125315,0.921431,0.997592,4.912708,0,0,0,-1,355.957,364.038,1041.61,0,0
,,248,20.69918681,101.400836,0.00704836,0.27686656,0.929111,0.997627,4.977013,-0.0021,0,0,-1,355.702,363.63,1041.403,0,0
,,249,20.70289419,100.613475,0.00707701,0.27060498,0.924987,0.997376,4.989553,0.0004,0,0,-1,355.511,363.374,1041.339,0,0
,,250,20.71064506,103.292957,0.00708012,0.26549479,0.94413,0.996426,4.914646,0.0035,0,0,-1,355.189,363.003,1041.302,0,0
,,251,20.72236787,101.424138,0.00716429,0.26048894,0.93299,0.996139,4.801885,0.0014,0,0,-1,355.013,362.681,1041.292,0,0
,,252,20.72741226,98.924676,0.0071897,0.25601937,0.931618,0.995818,4.745063,0.0021,0,0,-1,354.73,362.417,1041.219,0,0
,,253,20.73147115,98.696066,0.00718782,0.25101721,0.942187,0.995314,4.754051,0.0009,0,0,-1,354.531,362.041,1041.25,0,0
,,254,20.73570394,103.990139,0.0072228,0.24544326,0.944488,0.994952,4.757671,0.0006,0,0,-1,354.329,361.791,1041.238,0,0
,,255,20.74176078,102.461908,0.00732491,0.24058329,0.946077,0.995244,4.648858,0.0006,0,0,-1,354.02,361.392,1041.257,0,0
,,256,20.74801091,104.683113,0.00744087,0.23648941,0.943721,0.995019,4.631053,-0.0007,0,0,-1,353.843,361.096,1041.283,0,0
,,257,20.75355317,103.883281,0.0075376,0.23091406,0.937404,0.994818,4.677956,-0.0002,0,0,-1,353.535,360.783,1041.27,0,0
,,258,20.75914661,101.514887,0.00767429,0.22654936,0.950415,0.994367,4.66624,-0.0013,0,0,-1,353.373,360.451,1041.305,0,0
,,259,20.76331268,100.177103,0.0078587,0.22188749,0.948995,0.994233,4.58257,-0.0006,0,0,-1,353.128,360.19,1041.284,0,0
,,260,20.76713505,98.562919,0.00789177,0.21852218,0.950847,0.994265,4.55208,0.0013,0,0,-1,352.865,359.819,1041.356,0,0
,,261,20.77292341,102.716489,0.00797153,0.21349323,0.946315,0.993931,4.572276,-0.0018,0,0,-1,352.664,359.557,1041.379,0,0
,,262,20.77884715,102.014598,0.00818608,0.2093223,0.936885,0.993143,4.602969,-0.0015,0,0,-1,352.363,359.204,1041.378,0,0
,,263,20.78464593,103.131073,0.00838551,0.20447579,0.94685,0.99292,4.577658,0.0011,0,0,-1,352.22,358.9,1041.414,0,0
,,264,20.78810936,99.88371,0.0085833,0.19947136,0.949646,0.99229,4.510426,0.0004,0,0,-1,351.919,358.593,1041.429,0,0
,,265,20.79197797,103.457944,0.00867381,0.19551627,0.946022,0.992309,4.553,0.0003,0,0,-1,351.704,358.237,1041.496,0,0
,,266,20.7923206,104.805442,0.00888858,0.19134794,0.944391,0.991908,4.538286,0.0004,0,0,-1,351.467,357.978,1041.51,0,0
,,267,20.7946131,104.349134,0.00898016,0.18741297,0.936139,0.991607,4.473832,0.0019,0,0,-1,351.185,357.591,1041.559,0,0
,,268,20.7985721,103.477653,0.0090948,0.18433492,0.943752,0.991215,4.457,0.0005,0,0,-1,351.041,357.332,1041.588,0,0
,,269,20.80007128,101.558836,0.00928564,0.1814632,0.952593,0.990362,4.456741,-0.0001,0,0,-1,350.744,357.02,1041.615,0,0
,,270,20.80284493,107.6875,0.00948516,0.17736056,0.953153,0.990064,4.413684,-0.0014,0,0,-1,350.585,356.693,1041.642,0,0
,,271,20.80371148,104.187047,0.0096757,0.17450506,0.94986,0.989766,4.385098,-0.0011,0,0,-1,350.281,356.415,1041.621,0,0
,,272,20.8059179,104.034657,0.00979604,0.17255452,0.940378,0.989342,4.483,0.0005,0,0,-1,350.052,356.049,1041.627,0,0
,,273,20.81048607,103.069335,0.00987633,0.1685223,0.946412,0.989404,4.483,-0.0008,0,0,-1,349.894,355.871,1041.612,0,0
,,274,20.81340425,104.189322,0.00999226,0.16642004,0.952287,0.988985,4.405842,0.0003,0,0,-1,349.64,355.527,1041.589,0,0
,,275,20.81565287,104.214913,0.01010506,0.16332143,0.949331,0.98848,4.39,0.0004,0,0,-1,349.501,355.291,1041.577,0,0
,,276,20.81468949,100.691873,0.01018594,0.16136064,0.945999,0.988401,4.367828,0.0004,0,0,-1,349.243,355.058,1041.536,0,0
,,277,20.81473685,100.346804,0.01029621,0.15932741,0.943937,0.987686,4.338499,-0.0018,0,0,-1,349.123,354.793,1041.538,0,0
,,278,20.81509049,106.468985,0.01030076,0.15749438,0.942188,0.987651,4.283082,-0.0005,0,0,-1,348.956,354.616,1041.5,0,0
,,279,20.81469599,105.702121,0.01038391,0.15616915,0.953809,0.986979,4.32259,-0.0006,0,0,-1,348.707,354.264,1041.511,0,0
,,280,20.81361629,102.675349,0.01049525,0.15537867,0.95015,0.986541,4.304369,-0.0015,0,0,-1,348.562,354.042,1041.493,0,0
,,281,20.81506154,106.926738,0.01057992,0.15435038,0.945958,0.986585,4.255897,0.0007,0,0,-1,348.294,353.751,1041.464,0,0
,,282,20.81500135,103.704194,0.01068987,0.15354428,0.947547,0.985837,4.221831,0.0008,0,0,-1,348.188,353.539,1041.483,0,0
,,283,20.81371618,104.42848,0.01088333,0.15238763,0.943811,0.98527,4.200691,-0.002,0,0,-1,348.006,353.346,1041.419,0,0
,,284,20.81365029,105.962736,0.0109965,0.15124892,0.95034,0.985194,4.175042,0.0015,0,0,-1,347.854,353.079,1041.454,0,0
,,285,20.81687501,104.602359,0.01119604,0.15034342,0.948923,0.984698,4.19604,0.002,0,0,-1,347.676,352.907,1041.502,0,0
,,286,20.81895372,102.930824,0.01120014,0.14946581,0.945594,0.984183,4.200949,-0.0008,0,0,-1,347.456,352.609,1041.535,0,0
,,287,20.81953626,102.830594,0.01127874,0.14941112,0.943949,0.98344,4.19672,-0.002,0,0,-1,347.37,352.447,1041.534,0,0
,,288,20.81792797,104.756516,0.01138981,0.14952062,0.939152,0.983023,4.103834,-0.0009,0,0,-1,347.162,352.24,1041.5,0,0
,,289,20.81584078,102.075524,0.01158802,0.14956986,0.950751,0.982642,4.083042,0.0007,0,0,-1,347.082,352.055,1041.483,0,0
,,290,20.81512749,103.483729,0.01170021,0.14952322,0.947845,0.982018,4.094735,0.0007,0,0,-1,346.927,351.927,1041.48,0,0
,,291,20.81560814,102.137299,0.01178493,0.14944073,0.945278,0.981396,4.028243,0.0013,0,0,-1,346.793,351.686,1041.521,0,0
,,292,20.81709275,103.412464,0.01190095,0.14836041,0.944311,0.980456,3.944168,0.0007,0,0,-1,346.685,351.542,1041.499,0,0
,,293,20.81576114,100.550341,0.01198861,0.14879495,0.942564,0.980086,4.051068,0.0003,0,0,-1,346.437,351.302,1041.522,0,0
,,294,20.81245682,101.108058,0.01219288,0.14949058,0.942842,0.978901,4.118473,0.0019,0,0,-1,346.377,351.134,1041.557,0,0
,,295,20.81162339,103.199764,0.01242466,0.14945154,0.946777,0.978598,4.044022,0.0002,0,0,-1,346.174,350.972,1041.546,0,0
,,296,20.81384228,104.926123,0.01261653,0.14954331,0.945784,0.97765,4.04603,0.0006,0,0,-1,346.102,350.77,1041.555,0,0
,,297,20.81506009,103.596262,0.01271547,0.14956527,0.948546,0.977334,4.075841,0.0009,0,0,-1,345.975,350.66,1041.605,0,0
,,298,20.81654849,98.565759,0.01272789,0.14848205,0.941946,0.976803,4.053068,0.0007,0,0,-1,345.837,350.473,1041.582,0,0
,,299,20.81908731,98.891499,0.01279065,0.14838036,0.942896,0.976206,3.952033,-0.0026,0,0,-1,345.793,350.381,1041.607,0,0
,,300,20.82002391,101.768073,0.01279293,0.1473434,0.944809,0.976209,3.963288,0.0013,0,0,-1,345.641,350.223,1041.608,0,0
,,301,20.82146593,104.14583,0.01280086,0.14723218,0.943107,0.975324,4.003277,0.0005,0,0,-1,345.585,350.071,1041.717,0,0
,,302,20.82191629,104.64491,0.01280348,0.14719521,0.946624,0.97518,3.943,-0.0013,0,0,-1,345.398,349.937,1041.706,0,0
,,303,20.8225264,102.954176,0.01310883,0.1464653,0.937954,0.974719,3.918905,0.0006,0,0,-1,345.29,349.747,1041.574,0,0
,,304,20.82197223,100.612308,0.01318561,0.14629889,0.9346,0.973975,3.90035,-0.0008,0,0,-1,345.231,349.654,1041.614,0,0
,,305,20.82136714,103.075796,0.0133015,0.14525418,0.944809,0.973014,3.935022,-0.0008,0,0,-1,345.052,349.456,1041.604,0,0
,,306,20.82130984,105.308375,0.01341228,0.14528633,0.9466,0.972787,3.937,-0.0025,0,0,-1,345.035,349.333,1041.664,0,0
,,307,20.8219443,101.611599,0.01341037,0.14528846,0.945926,0.971843,3.941869,-0.0026,0,0,-1,344.872,349.224,1041.63,0,0
,,308,20.82395293,104.903833,0.0134979,0.14491729,0.936812,0.971738,3.915021,0.0003,0,0,-1,344.829,349.09,1041.514,0,0
,,309,20.82606153,102.487578,0.01349867,0.14389513,0.935144,0.971265,3.826,-0.0023,0,0,-1,344.726,349.041,1041.525,0,0
,,310,20.82618282,103.793216,0.01349486,0.14294417,0.939117,0.970242,3.853934,-0.0002,0,0,-1,344.616,348.833,1041.545,0,0
,,311,20.82607977,107.353514,0.01349608,0.1422435,0.946084,0.969578,3.842843,0,0,0,-1,344.569,348.767,1041.572,0,0
,,312,20.82461574,105.766522,0.01349954,0.14220256,0.941441,0.969271,3.816793,-0.0006,0,0,-1,344.373,348.593,1041.52,0,0
,,313,20.82297823,103.986928,0.01350573,0.14222011,0.935103,0.968088,3.798,-0.0002,0,0,-1,344.341,348.456,1041.517,0,0
,,314,20.82098341,105.636685,0.01360054,0.14219747,0.931727,0.967498,3.794015,0.002,0,0,-1,344.171,348.327,1041.519,0,0
,,315,20.82212816,107.712186,0.01370211,0.14222267,0.936981,0.9671,3.796871,-0.0001,0,0,-1,344.076,348.145,1041.511,0,0
,,316,20.82412046,105.001096,0.01377919,0.14228314,0.934009,0.966004,3.784,-0.0008,0,0,-1,343.97,348.039,1041.513,0,0
,,317,20.82620259,107.752989,0.0140061,0.14132657,0.939715,0.965779,3.732662,0.0019,0,0,-1,343.803,347.828,1041.523,0,0
,,318,20.82747428,102.822835,0.01401467,0.14144567,0.940891,0.964386,3.677515,0.0019,0,0,-1,343.77,347.714,1041.467,0,0
,,319,20.82840579,103.909725,0.01400857,0.1413269,0.928099,0.964159,3.719723,0.0004,0,0,-1,343.597,347.585,1041.544,0,0
,,320,20.830166,102.179173,0.01399308,0.1402316,0.932882,0.963097,3.692,0,0,0,-1,343.58,347.447,1041.571,0,0
,,321,20.83170712,102.8424,0.01399671,0.14010573,0.934892,0.962655,3.617814,-0.0005,0,0,-1,343.46,347.384,1041.55,0,0
,,322,20.831756,104.858753,0.01388253,0.13939324,0.934154,0.962112,3.581356,0.0006,0,0,-1,343.388,347.228,1041.583,0,0
,,323,20.83168859,104.049502,0.01388673,0.13912776,0.936014,0.961004,3.617,0.0008,0,0,-1,343.359,347.206,1041.572,0,0
,,324,20.83231388,99.932998,0.01403513,0.1383094,0.928219,0.960104,3.680825,0.0016,0,0,-1,343.224,347.08,1041.558,0,0
,,325,20.83035092,101.035647,0.01407075,0.13841778,0.932466,0.959762,3.651553,-0.0014,0,0,-1,343.25,347.02,1041.541,0,0
,,326,20.82832125,103.000597,0.01407363,0.13831298,0.933673,0.958978,3.610989,0.0004,0,0,-1,343.123,346.949,1041.503,0,0
,,327,20.82685503,102.645506,0.01414269,0.13825164,0.935232,0.958344,3.600048,0.0001,0,0,-1,343.112,346.82,1041.509,0,0
,,328,20.82690276,105.390221,0.01424931,0.13742973,0.933155,0.957725,3.60749,0.002,0,0,-1,343.01,346.8,1041.448,0,0
,,329,20.82706017,105.907911,0.01429317,0.13715358,0.930332,0.956949,3.56493,0.0018,0,0,-1,342.895,346.614,1041.461,0,0
,,330,20.82812656,105.826859,0.01435437,0.13723132,0.922787,0.95657,3.495042,0.0005,0,0,-1,342.866,346.562,1041.44,0,0
,,331,20.82934792,109.15663,0.01437447,0.13676545,0.925364,0.955796,3.500961,0.0006,0,0,-1,342.727,346.458,1041.419,0,0
,,332,20.82988093,102.967292,0.01444815,0.13637964,0.925232,0.954814,3.498105,0.0002,0,0,-1,342.768,346.401,1041.448,0,0
,,333,20.8309735,102.901246,0.01446464,0.13639534,0.937127,0.953905,3.549732,0.0009,0,0,-1,342.67,346.378,1041.408,0,0
,,334,20.83130934,102.325517,0.01456153,0.13568329,0.933377,0.952955,3.511138,-0.0003,0,0,-1,342.61,346.199,1041.466,0,0
,,335,20.83175756,104.614585,0.01459555,0.13521656,0.926569,0.952468,3.445087,0.0016,0,0,-1,342.517,346.149,1041.479,0,0
,,336,20.83172301,102.36756,0.01462676,0.13524151,0.92682,0.951882,3.488209,0.0005,0,0,-1,342.364,345.97,1041.533,0,0
,,337,20.83097937,100.269594,0.01474238,0.13525715,0.924582,0.95035,3.512955,0.001,0,0,-1,342.339,345.888,1041.561,0,0
,,338,20.83057083,110.369856,0.01488932,0.13520344,0.927865,0.949958,3.418173,0.0026,0,0,-1,342.173,345.78,1041.577,0,0
,,339,20.83142378,106.810205,0.015051,0.13522203,0.927422,0.949035,3.344544,0.0012,0,0,-1,342.135,345.627,1041.555,0,0
,,340,20.83362465,105.733791,0.01509508,0.13523554,0.918997,0.948041,3.386436,0.001,0,0,-1,342.027,345.602,1041.549,0,0
,,341,20.83591387,103.250699,0.0150938,0.13439385,0.92128,0.947624,3.43,-0.0002,0,0,-1,341.956,345.466,1041.563,0,0
,,342,20.8363984,104.120782,0.01509539,0.13405641,0.915152,0.946406,3.372,0.001,0,0,-1,341.953,345.459,1041.642,0,0
,,343,20.83779994,103.013051,0.01504788,0.13343551,0.919225,0.945627,3.394767,0.0015,0,0,-1,341.812,345.328,1041.638,0,0
,,344,20.83735486,105.459633,0.01501429,0.13264625,0.925004,0.944881,3.336305,0.0005,0,0,-1,341.847,345.303,1041.667,0,0
,,345,20.83837199,105.146191,0.01501982,0.13244624,0.919641,0.943482,3.259077,0.0018,0,0,-1,341.721,345.254,1041.664,0,0
,,346,20.83839493,102.629465,0.01501666,0.13243648,0.917773,0.941653,3.265193,0.0008,0,0,-1,341.69,345.133,1041.686,0,0
,,347,20.83639511,102.143865,0.01500861,0.1323878,0.914346,0.940335,3.312782,-0.0003,0,0,-1,341.645,345.144,1041.673,0,0
,,348,20.83471634,105.512279,0.01506467,0.13245902,0.917694,0.939346,3.291022,0.0005,0,0,-1,341.558,345.016,1041.66,0,0
,,349,20.8338857,108.456787,0.01509697,0.13235758,0.922554,0.937494,3.223291,-0.0014,0,0,-1,341.58,344.997,1041.641,0,0
,,350,20.83332157,106.241594,0.01509648,0.13240627,0.918123,0.937207,3.281027,-0.0002,0,0,-1,341.448,344.903,1041.631,0,0
,,351,20.83237118,107.135924,0.0150933,0.13240703,0.917928,0.936553,3.283991,0.0017,0,0,-1,341.451,344.784,1041.618,0,0
,,352,20.83356725,103.674311,0.01509911,0.13167367,0.915696,0.935543,3.257118,-0.0002,0,0,-1,341.272,344.702,1041.564,0,0
,,353,20.83444704,106.878191,0.01509849,0.13135803,0.906723,0.934468,3.296618,-0.0007,0,0,-1,341.202,344.546,1041.532,0,0
,,354,20.834555,107.576021,0.01509746,0.13130385,0.914572,0.933595,3.372696,-0.0012,0,0,-1,341.173,344.55,1041.537,0,0
,,355,20.83587099,99.700539,0.01509482,0.13132514,0.915474,0.932152,3.345028,0.0018,0,0,-1,341.084,344.422,1041.548,0,0
,,356,20.83612323,101.533883,0.01517038,0.13130904,0.90819,0.930879,3.23605,-0.0017,0,0,-1,341.102,344.402,1041.408,0,0
,,357,20.83803052,106.005456,0.01517879,0.13133326,0.907821,0.930248,3.24602,0,0,0,-1,340.996,344.364,1041.505,0,0
,,358,20.84098148,102.547323,0.01518097,0.13126974,0.906679,0.928526,3.248,-0.0016,0,0,-1,340.997,344.292,1041.522,0,0
,,359,20.84247598,102.932564,0.01517691,0.13134416,0.912876,0.927068,3.197638,-0.0041,0,0,-1,340.916,344.26,1041.342,0,0
,,360,20.83964137,105.636376,0.01528483,0.13120125,0.907957,0.926115,3.138229,-0.0008,0,0,-1,340.829,344.115,1041.532,0,0
,,361,20.83786295,105.648314,0.01529743,0.13126733,0.899296,0.924448,3.159011,0.0015,0,0,-1,340.816,344.091,1041.52,0,0
,,362,20.83638847,103.846033,0.01529113,0.13133901,0.898517,0.923648,3.17002,0.0009,0,0,-1,340.684,344.016,1041.541,0,0
,,363,20.83655187,104.730757,0.01529304,0.1312526,0.898183,0.922189,3.174709,0.001,0,0,-1,340.702,343.939,1041.779,0,0
,,364,20.83785419,106.14262,0.01529449,0.13130129,0.903983,0.920656,3.146901,0.0017,0,0,-1,340.597,343.924,1041.55,0,0
,,365,20.83860289,101.791245,0.01529107,0.13018347,0.903333,0.919303,3.215834,0.002,0,0,-1,340.57,343.801,1041.603,0,0
,,366,20.84077381,107.011373,0.01529276,0.13003278,0.894626,0.917469,3.160216,0.0033,0,0,-1,340.549,343.851,1041.378,0,0
,,367,20.84216389,106.359131,0.01539345,0.12943545,0.896064,0.91675,3.062196,-0.0038,0,0,-1,340.467,343.729,1041.637,0,0
,,368,20.84088442,103.097996,0.01540263,0.12927669,0.892445,0.91559,3.026209,-0.0012,0,0,-1,340.483,343.729,1041.834,0,0
,,369,20.84098193,101.269836,0.01541084,0.12938854,0.897009,0.915114,3.078134,-0.0001,0,0,-1,340.375,343.694,1041.588,0,0
,,370,20.84226541,105.369465,0.0154014,0.12931459,0.902312,0.914329,3.09297,-0.0011,0,0,-1,340.437,343.642,1041.832,0,0
,,371,20.84225486,104.888671,0.01529958,0.12934475,0.89592,0.914412,3.090784,-0.0039,0,0,-1,340.376,343.675,1041.574,0,0
,,372,20.84070193,107.32368,0.01540255,0.1293262,0.893189,0.914039,3.036835,0.0001,0,0,-1,340.378,343.612,1041.408,0,0
,,373,20.83907255,107.407738,0.01548193,0.12940156,0.892009,0.914081,2.996339,0.0015,0,0,-1,340.409,343.655,1041.536,0,0
,,374,20.84009273,101.363192,0.01559817,0.12938961,0.897702,0.913651,3.033962,-0.0009,0,0,-1,340.326,343.575,1041.522,0,0
,,375,20.8400537,95.712704,0.01570716,0.12938012,0.898787,0.913739,3.033945,0.0007,0,0,-1,340.338,343.569,1041.38,0,0
,,376,20.8389067,97.242023,0.01579204,0.12940916,0.89308,0.913934,3.02305,0.0011,0,0,-1,340.27,343.56,1041.485,0,0
,,377,20.83678425,104.846153,0.01589834,0.1282518,0.892424,0.913755,3.028,0.0013,0,0,-1,340.279,343.487,1041.512,0,0
