Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g),Oxygen (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),APT (kPa),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Soot MFM (g/s),Spare TC (K),HFM (kW/m²)
EHC(60) (MJ/kg),15.6508415055771,38,36.1961928017811,8.62940731394109,170.744993764607,0.0419451666666666,4.19451666666666,0.0814244927182649,2.30211069386383,9.47989007662495,23.1282492929368,0.304762705648009,22.9073055675902,23.5000119379016,0.0071619272209554,0.71619272209554,0.826209137935518,82.6209137935518,0.0034153639178164,0.0965624167392338,0.038185319039395,6.85237174141786,249.47079149013,-0.166535000000001,20.79989274,101.653171,0.01595885,0.32317282,0.952974,0.986665,0,-1,349.809,358.86,1041.059,0,0,0
EHC(120) (MJ/kg),16.1468272602334,39,38.0609515625303,5.68911704239034,106.471385618568,0.0669013333333333,6.69013333333333,0.0539994610351209,1.35076366649951,9.51701864880711,23.5416600043565,0.298152249472696,23.2985033100345,23.8907392861446,0.00712307765972972,0.712307765972972,0.833351640375861,83.3351640375861,0.00361263594253097,0.090367890307039,0.0384631256882533,6.89069596378168,244.026119200182,-0.224264000000001,20.80144891,105.237196,0.01655719,0.30103099,0.953589,0.986558,0,-1,349.535,358.42,1041.054,0,0,0
EHC(180) (MJ/kg),,40,37.6452971046259,6.72731986394032,151.054409235955,0.0559588333333333,5.59588333333333,0.0664816412445043,1.43945864174149,9.55487177314069,23.3669890023454,0.356838022736305,23.1031416569628,23.6881385169719,0.00845282851069994,0.845282851069994,0.841139593461075,84.1139593461075,0.00372023508212768,0.0805504262234385,0.0367612929824446,6.92830817311703,238.871794328517,-0.291152000000001,20.80693561,103.580489,0.01715195,0.27526959,0.94686,0.986172,0,-1,349.195,358.037,1041.001,0,0,0
EHC(240) (MJ/kg),,41,38.8523203924912,25.0209485448194,419.622233215829,0.0155279166666667,1.55279166666667,0.253863991785613,4.67866772937755,9.59312058188925,23.613569986126,0.272569864373333,23.3243399338783,23.9052805189475,0.00651585906885598,0.651585906885598,0.848623937250853,84.8623937250853,0.00394197890911437,0.0726499626127974,0.0363880316066463,6.96488283541158,233.978550777786,-0.328643000000001,20.80985332,105.67571,0.01795105,0.25088221,0.955997,0.986169,0,-1,348.857,357.546,1041.009,0,0,0
EHC(300) (MJ/kg),,42,36.0892912286741,76.1029583425463,1020.39935488711,0.00474216666666662,0.474216666666662,0.867881723724815,14.0043092023484,9.63059138769983,23.5912977477044,0.202850959115365,23.2831699715893,23.8544783250535,0.00483890380743378,0.483890380743378,0.854301318688998,85.4301318688998,0.00411563978085699,0.066410768289069,0.0338212688797236,6.99998748565476,229.299794945234,-0.330061000000001,20.81956961,105.389684,0.01872852,0.23366845,0.963433,0.985972,0,-1,348.57,357.123,1040.986,0,0,0
EHC(360) (MJ/kg),,43,37.2397541631577,10.1913176633772,143.679949500623,0.0365406666666666,3.65406666666666,0.116581615902424,1.65390108975725,9.66725591039574,23.625567129833,0.220068990676145,23.2889634729493,23.8568874481363,0.00525016114138575,0.525016114138575,0.859345851163408,85.9345851163408,0.00425996996615184,0.0604346484204564,0.0336742466702448,7.03373524342974,224.819904892924,-0.349201000000001,20.8203211,105.569038,0.01933405,0.21675287,0.961653,0.986084,0,-1,348.151,356.641,1041.004,0,0,0
MLR(60) (g/s),0.0925314145833333,44,37.0573015602178,6.79577447124,98.2621172906392,0.0545299166666667,5.45299166666667,0.0817659808706545,1.02022500782741,9.70440443825743,23.7310319880332,0.223889284231129,23.3735744617717,23.9324766513492,0.00535822506734879,0.535822506734879,0.864650044267775,86.4650044267775,0.00445869212304505,0.055632784658078,0.0329125433964155,7.06702863846307,220.554646324033,-0.398710000000001,20.82379969,106.425554,0.02011708,0.20268827,0.961129,0.985976,0,-1,347.863,356.181,1041.052,0,0,0
MLR(120) (g/s),0.0511476413194444,45,37.0585259366403,0,0,-0.00643166666666662,-0.643166666666662,0,0,9.74146235200586,23.154958401968,0.25151926843039,22.7804783636646,23.3222728535568,0.00586600100626055,0.586600100626055,0.87026215730458,87.026215730458,0.00453147666949278,0.0496555964365673,0.0320333834741265,7.09950160189835,216.476941155686,-0.439347000000001,20.82411321,101.207106,0.02092546,0.18953838,0.958257,0.986131,0,-1,347.471,355.735,1041.059,0,0,0
MLR(180) (g/s),,46,38.9032111366384,0,0,-0.0248734166666667,-2.48734166666667,0,0,9.7794432205425,23.4931457554873,0.277103842420021,23.0927086370173,23.6306425030904,0.00654814183646023,0.654814183646023,0.87646922872594,87.646922872594,0.00482406972128777,0.0466788141347769,0.0328255958490715,7.13193109155995,212.596591750924,-0.396870000000001,20.82286356,104.092685,0.02192198,0.17916804,0.955908,0.986587,0,-1,347.163,355.25,1041.108,0,0,0
MLR(240) (g/s),,47,39.5578798062773,7.81034092562449,96.6208165946821,0.0506480833333333,5.06480833333333,0.099177029174545,0.8623942650111,9.81867376601396,23.4484959746644,0.207715426548278,23.0279064485429,23.559440201158,0.00489365917062217,0.489365917062217,0.882190129229481,88.2190129229482,0.00502312643838478,0.0436786166004709,0.0328490258939948,7.16476840243148,208.907952468382,-0.411661000000001,20.8225323,103.603305,0.02284021,0.17099668,0.963478,0.986565,0,-1,346.848,354.854,1041.138,0,0,0
MLR(300) (g/s),,48,40.0817730858779,14.8654723457619,168.493260976951,0.026963,2.6963,0.19434182360621,1.5635659135811,9.85849359246003,23.8080647130834,0.190172350780568,23.3595219048939,23.8892971405901,0.00454308379572153,0.454308379572153,0.886908500712653,88.6908500712653,0.00524003858989423,0.0421584277278871,0.0330249957696072,7.19770541326328,205.385283176251,-0.475703000000001,20.82377834,106.706827,0.02344776,0.16494313,0.966082,0.987255,0,-1,346.529,354.388,1041.196,0,0,0
MLR(360) (g/s),,49,39.4453943348214,0,0,-0.00910074999999996,-0.910074999999996,0,0,9.89825717617038,23.218102564028,0.228501113050965,22.7646998941682,23.2753650344796,0.00531844681704611,0.531844681704611,0.891839266019037,89.1839266019037,0.00524469237963602,0.0391423273244468,0.0321787631688149,7.23030729273249,202.005248493273,-0.462234000000001,20.82388701,101.41281,0.02404677,0.15935525,0.962019,0.987408,0,-1,346.286,354.054,1041.262,0,0,0
SEA(60) (m²/kg),176.345190262349,50,38.862688588606,9.16693556469253,120.173940528133,0.0423944166666666,4.23944166666666,0.122783255907965,0.884143757872013,9.9374112176321,22.8969952515168,0.222229098999447,22.4260055685423,22.9254590427762,0.00509470410722489,0.509470410722489,0.897045841481173,89.7045841481173,0.00520532451065222,0.0374827588644585,0.0315544055731179,7.26217387710346,198.748224352642,-0.477898000000001,20.82459589,98.522309,0.02419655,0.15614124,0.962633,0.987332,0,-1,345.918,353.622,1041.3,0,0,0
SEA(120) (m²/kg),200.779926313004,51,39.9890597636088,7.10747091676364,88.0465403919653,0.0562634166666666,5.62634166666666,0.0956607166349443,0.670690941040801,9.97683709180821,23.7095680698949,0.208908881460339,23.2069607082969,23.7127265892336,0.00495379918813164,0.495379918813164,0.902070093128851,90.2070093128851,0.0053821987586638,0.0377353638703374,0.0323530140963936,7.29412758693821,195.624256702122,-0.538430000000001,20.8258221,105.571349,0.0241623,0.15315018,0.96463,0.987879,0,-1,345.696,353.23,1041.369,0,0,0
